Class,Sequence_Index,Mean_Posterior_Probability
Class_1a_xrRNA_final,1,0.8874999999999998
Class_1a_xrRNA_final,2,0.864236111111111
Class_1a_xrRNA_final,3,0.879861111111111
Class_1a_xrRNA_final,4,0.9070945945945942
Class_1a_xrRNA_final,5,0.8520833333333333
Class_1a_xrRNA_final,6,0.8688461538461537
Class_1a_xrRNA_final,7,0.8974264705882353
Class_1a_xrRNA_final,8,0.8697916666666666
Class_1a_xrRNA_final,9,0.8676282051282049
Class_1a_xrRNA_final,10,0.9173076923076919
Class_1a_xrRNA_final,11,0.8945512820512815
Class_1a_xrRNA_final,12,0.7069148936170209
Class_1a_xrRNA_final,13,0.8879870129870127
Class_1a_xrRNA_final,14,0.8659090909090907
Class_1a_xrRNA_final,15,0.900324675324675
Class_1a_xrRNA_final,16,0.8775974025974023
Class_1a_xrRNA_final,17,0.8594936708860756
Class_1a_xrRNA_final,18,0.8567567567567567
Class_1a_xrRNA_final,19,0.8996666666666664
Class_1a_xrRNA_final,20,0.8983108108108105
Class_1a_xrRNA_final,21,0.8987012987012982
Class_1a_xrRNA_final,22,0.856849315068493
Class_1a_xrRNA_final,23,0.9097402597402593
Class_1a_xrRNA_final,24,0.854
Class_1a_xrRNA_final,25,0.9119863013698628
Class_1a_xrRNA_final,26,0.9036666666666664
Class_1a_xrRNA_final,27,0.8761538461538461
Class_1a_xrRNA_final,28,0.9097402597402593
Class_1a_xrRNA_final,29,0.8499999999999999
Class_1a_xrRNA_final,30,0.8958904109589038
Class_1a_xrRNA_final,31,0.8986301369863013
Class_1a_xrRNA_final,32,0.8928571428571429
Class_1a_xrRNA_final,33,0.8388157894736841
Class_1a_xrRNA_final,34,0.896830985915493
Class_1a_xrRNA_final,35,0.818292682926829
Class_1a_xrRNA_final,36,0.8298701298701299
Class_1a_xrRNA_final,37,0.8054794520547944
Class_1a_xrRNA_final,38,0.8894366197183098
Class_1a_xrRNA_final,39,0.8485074626865672
Class_1a_xrRNA_final,40,0.8297619047619048
Class_1a_xrRNA_final,41,0.8365671641791046
Class_1a_xrRNA_final,42,0.836231884057971
Class_1a_xrRNA_final,43,0.8171641791044777
Class_1a_xrRNA_final,44,0.833984375
Class_1a_xrRNA_final,45,0.7935714285714286
Class_1a_xrRNA_final,46,0.7723684210526311
Class_1a_xrRNA_final,47,0.7878712871287125
Class_1a_xrRNA_final,48,0.7765789473684205
Class_1a_xrRNA_final,49,0.7718421052631577
Class_1a_xrRNA_final,50,0.8097058823529408
Class_1a_xrRNA_final,51,0.7999999999999998
Class_1a_xrRNA_final,52,0.6846385542168674
Class_1a_xrRNA_final,53,0.8431506849315067
Class_1a_xrRNA_final,54,0.8725694444444443
Class_1a_xrRNA_final,55,0.8597222222222222
Class_1a_xrRNA_final,56,0.8719594594594593
Class_1a_xrRNA_final,57,0.8443661971830986
Class_1a_xrRNA_final,58,0.7641176470588236
Class_1a_xrRNA_final,59,0.7866666666666666
Class_1a_xrRNA_final,60,0.7914634146341463
Class_1a_xrRNA_final,61,0.8139240506329114
Class_1a_xrRNA_final,62,0.8093085106382975
Class_1a_xrRNA_final,63,0.881849315068493
Class_1a_xrRNA_final,64,0.7594155844155843
Class_1a_xrRNA_final,65,0.7876760563380282
Class_1a_xrRNA_final,66,0.6317708333333333
Class_1a_xrRNA_final,67,0.8262499999999999
Class_1a_xrRNA_final,68,0.7749999999999997
Class_1a_xrRNA_final,69,0.6595394736842103
Class_1a_xrRNA_final,70,0.8494642857142857
Class_1a_xrRNA_final,71,0.6863970588235295
Class_1a_xrRNA_final,72,0.7907142857142856
Class_1a_xrRNA_final,73,0.7448863636363636
Class_1a_xrRNA_final,74,0.8465648854961831
Class_1a_xrRNA_final,75,0.725
Class_1b_xrRNA_final,1,0.7753164556962027
Class_1b_xrRNA_final,2,0.7901315789473682
Class_1b_xrRNA_final,3,0.8086419753086421
Class_1b_xrRNA_final,4,0.8839506172839505
Class_1b_xrRNA_final,5,0.9113333333333331
Class_1b_xrRNA_final,6,0.90632911392405
Class_1b_xrRNA_final,7,0.7293103448275859
Class_1b_xrRNA_final,8,0.8724999999999998
Class_1b_xrRNA_final,9,0.8535294117647055
Class_1b_xrRNA_final,10,0.8471590909090907
Class_1b_xrRNA_final,11,0.9110119047619043
Class_1b_xrRNA_final,12,0.8816860465116274
Class_1b_xrRNA_final,13,0.8863095238095235
Class_1b_xrRNA_final,14,0.8616477272727273
Class_1b_xrRNA_final,15,0.8764880952380949
Class_1b_xrRNA_final,16,0.8764204545454546
Class_1b_xrRNA_final,17,0.8851190476190473
Class_1b_xrRNA_final,18,0.7649425287356318
Class_1b_xrRNA_final,19,0.883231707317073
Class_1b_xrRNA_final,20,0.8599999999999997
Class_1b_xrRNA_final,21,0.7579999999999998
Class_1b_xrRNA_final,22,0.8911184210526312
Class_1b_xrRNA_final,23,0.7544303797468356
Class_1b_xrRNA_final,24,0.7556962025316455
Class_1b_xrRNA_final,25,0.8109375
Class_1b_xrRNA_final,26,0.712025316455696
Class_1b_xrRNA_final,27,0.9031609195402295
Class_1b_xrRNA_final,28,0.7446808510638296
Class_1b_xrRNA_final,29,0.8011627906976743
Class_1b_xrRNA_final,30,0.9354430379746829
Class_1b_xrRNA_final,31,0.8812499999999999
Class_1b_xrRNA_final,32,0.6993902439024391
Class_1b_xrRNA_final,33,0.694047619047619
Class_1b_xrRNA_final,34,0.7066265060240963
Class_1b_xrRNA_final,35,0.7005555555555555
Class_1b_xrRNA_final,36,0.9167682926829266
Class_1b_xrRNA_final,37,0.884090909090909
Class_1b_xrRNA_final,38,0.9085443037974681
Class_1b_xrRNA_final,39,0.8097938144329897
Class_1b_xrRNA_final,40,0.9221153846153848
Class_1b_xrRNA_final,41,0.8171195652173913
Class_1b_xrRNA_final,42,0.69025974025974
Class_1b_xrRNA_final,43,0.6827922077922078
Class_1b_xrRNA_final,44,0.7155263157894735
Class_1b_xrRNA_final,45,0.7247549019607838
Class_1b_xrRNA_final,46,0.7255813953488375
Class_1b_xrRNA_final,47,0.831730769230769
Class_1b_xrRNA_final,48,0.8197368421052631
Class_1b_xrRNA_final,49,0.85
Class_1b_xrRNA_final,50,0.78515625
Class_1b_xrRNA_final,51,0.8230769230769232
Class_1b_xrRNA_final,52,0.6423611111111112
Class_1b_xrRNA_final,53,0.75
Class_1b_xrRNA_final,54,0.7785714285714289
Class_1b_xrRNA_final,55,0.6837121212121212
Class_1b_xrRNA_final,56,0.7801587301587305
Class_1b_xrRNA_final,57,0.8343283582089553
Class_1b_xrRNA_final,58,0.8256250000000002
Class_1b_xrRNA_final,59,0.8136111111111108
Class_1b_xrRNA_final,60,0.8025
Class_1b_xrRNA_final,61,0.6947058823529411
Class_1b_xrRNA_final,62,0.8323369565217389
Class_1b_xrRNA_final,63,0.8071808510638295
Class_1b_xrRNA_final,64,0.811170212765957
Class_1b_xrRNA_final,65,0.8071808510638295
Class_1b_xrRNA_final,66,0.8467821782178214
Class_1b_xrRNA_final,67,0.7890306122448977
Class_1b_xrRNA_final,68,0.8249999999999996
Class_1b_xrRNA_final,69,0.8140086206896548
Class_1b_xrRNA_final,70,0.8410194174757276
Class_1b_xrRNA_final,71,0.6955607476635511
Class_1b_xrRNA_final,72,0.7489898989898989
Class_1b_xrRNA_final,73,0.87
Class_1b_xrRNA_final,74,0.885958904109589
Class_1b_xrRNA_final,75,0.6615384615384615
Class_1b_xrRNA_final,76,0.8492647058823528
Class_1b_xrRNA_final,77,0.8434027777777777
Class_1b_xrRNA_final,78,0.8048611111111111
Class_1b_xrRNA_final,79,0.8147887323943663
Class_1b_xrRNA_final,80,0.8263513513513512
Class_1b_xrRNA_final,81,0.8604591836734691
Class_1b_xrRNA_final,82,0.747674418604651
Class_1b_xrRNA_final,83,0.9319444444444444
Class_1b_xrRNA_final,84,0.8245327102803736
Class_1b_xrRNA_final,85,0.8402499999999997
Class_1b_xrRNA_final,86,0.8659999999999999
Class_1b_xrRNA_final,87,0.8398514851485145
Class_1b_xrRNA_final,88,0.7181578947368422
Class_2_xrRNA_final,1,0.8728723404255314
Class_2_xrRNA_final,2,0.893895348837209
Class_2_xrRNA_final,3,0.8710526315789471
Class_2_xrRNA_final,4,0.9177325581395345
Class_2_xrRNA_final,5,0.9210106382978718
Class_2_xrRNA_final,6,0.9352777777777774
Class_2_xrRNA_final,7,0.9226063829787229
Class_2_xrRNA_final,8,0.9005882352941172
Class_2_xrRNA_final,9,0.8883152173913039
Class_2_xrRNA_final,10,0.9566666666666664
Class_2_xrRNA_final,11,0.95603448275862
Class_2_xrRNA_final,12,0.9447368421052625
Class_2_xrRNA_final,13,0.9655555555555553
Class_2_xrRNA_final,14,0.9655555555555553
Class_2_xrRNA_final,15,0.9428191489361698
Class_2_xrRNA_final,16,0.9666666666666663
Class_2_xrRNA_final,17,0.9104838709677414
Class_2_xrRNA_final,18,0.9638888888888886
Class_2_xrRNA_final,19,0.9574999999999998
Class_2_xrRNA_final,20,0.9511363636363636
Class_2_xrRNA_final,21,0.9263888888888886
Class_2_xrRNA_final,22,0.8947916666666665
Class_2_xrRNA_final,23,0.9420212765957441
Class_2_xrRNA_final,24,0.9609042553191485
Class_2_xrRNA_final,25,0.90625
Class_2_xrRNA_final,26,0.948351648351648
Class_2_xrRNA_final,27,0.9026881720430103
Class_2_xrRNA_final,28,0.9039473684210522
Class_2_xrRNA_final,29,0.924742268041237
Class_2_xrRNA_final,30,0.9294943820224718
Class_2_xrRNA_final,31,0.9211111111111109
Class_2_xrRNA_final,32,0.9511363636363636
Class_2_xrRNA_final,33,0.8885416666666665
Class_2_xrRNA_final,34,0.9390109890109889
Class_2_xrRNA_final,35,0.9666666666666663
Class_2_xrRNA_final,36,0.7999999999999996
Class_2_xrRNA_final,37,0.9622222222222219
Class_2_xrRNA_final,38,0.9453703703703701
RF04326_c,1,0.9574074074074075
RF04326_c,2,0.9486111111111112
RF04326_c,3,0.9537037037037037
RF04326_c,4,0.9486111111111112
RF04326_c,5,0.9435185185185184
RF04326_c,6,0.9486111111111112
RF04326_c,7,0.9249999999999998
RF04326_c,8,0.9249999999999998
RF04326_c,9,0.9138888888888886
RF04326_c,10,0.9166666666666664
RF04326_c,11,0.9249999999999998
RF04326_c,12,0.9154255319148937
RF04326_c,13,0.9721153846153846
RF04326_c,14,0.923404255319149
RF04326_c,15,0.895212765957447
RF04326_c,16,0.8562499999999998
RF04326_c,17,0.9282608695652175
RF04326_c,18,0.9171874999999999
RF04326_c,19,0.8796875000000001
RF04326_c,20,0.9541666666666666
RF04326_c,21,0.9385416666666666
RF04326_c,22,0.9117021276595747
RF04326_c,23,0.9184782608695654
RF04326_c,24,0.9339999999999999
RF04326_c,25,0.91
RF04326_c,26,0.9299999999999998
RF04326_c,27,0.9510416666666667
RF04326_c,28,0.9323529411764707
RF04326_c,29,0.9338235294117647
RF04326_c,30,0.96
RF04326_c,31,0.9334905660377358
RF04326_c,32,0.9705882352941175
RF04326_c,33,0.923469387755102
RF04326_c,34,0.935
RF04326_c,35,0.9721153846153846
RF04326_c,36,0.9240566037735849
RF04326_c,37,0.9721153846153846
RF04326_c,38,0.9721153846153846
RF04326_c,39,0.9142156862745098
RF04326_c,40,0.96
RF04326_c,41,0.9403846153846154
RF04326_c,42,0.9325471698113208
RF04326_c,43,0.9055
RF04326_c,44,0.890625
RF04326_c,45,0.96
RF04326_c,46,0.9529411764705883
RF04326_c,47,0.9538461538461538
RF04326_c,48,0.9331730769230769
RF04326_c,49,0.9721698113207546
RF04326_c,50,0.9359999999999999
RF04326_c,51,0.9403846153846154
RF04326_c,52,0.9721153846153846
RF04326_c,53,0.9720588235294116
RF04326_c,54,0.9721153846153846
RF04326_c,55,0.9567307692307693
RF04326_c,56,0.9613636363636365
RF04326_c,57,0.9339999999999999
RF04326_c,58,0.9039999999999998
RF04326_c,59,0.9316326530612244
RF04326_c,60,0.9355000000000001
RF04326_c,61,0.9091346153846154
RF04326_c,62,0.9039062499999998
RF04326_c,63,0.8989583333333333
RF04326_c,64,0.9182142857142855
RF04326_c,65,0.9210526315789472
RF04326_c,66,0.9627450980392157
RF04326_c,67,0.9721153846153846
RF04326_c,68,0.9721153846153846
RF04326_c,69,0.9721153846153846
RF04326_c,70,0.9721153846153846
RF04326_c,71,0.9721153846153846
RF04326_c,72,0.9634615384615384
RF04326_c,73,0.9634615384615384
RF04326_c,74,0.9721153846153846
RF04326_c,75,0.9634615384615384
RF04326_c,76,0.9634615384615384
RF04326_c,77,0.9721153846153846
RF04326_c,78,0.9721153846153846
RF04326_c,79,0.9721153846153846
RF04326_c,80,0.9721153846153846
RF04326_c,81,0.9721153846153846
RF04326_c,82,0.9647058823529411
RF04326_c,83,0.9416666666666667
RF04326_c,84,0.9721153846153846
RF04326_c,85,0.9721153846153846
RF04326_c,86,0.9602941176470589
RF04326_c,87,0.9514705882352941
RF04326_c,88,0.9721153846153846
RF04326_c,89,0.9634615384615384
RF04326_c,90,0.9719999999999999
RF04326_c,91,0.9529411764705883
RF04326_c,92,0.9720588235294116
RF04326_c,93,0.9719999999999999
RF04326_c,94,0.9634615384615384
RF04326_c,95,0.9391509433962264
RF04326_c,96,0.9720588235294116
RF04326_c,97,0.9721153846153846
RF04326_c,98,0.9416666666666667
RF04326_c,99,0.9721153846153846
RF04326_c,100,0.9720588235294116
RF04326_c,101,0.9720588235294116
RF04326_c,102,0.9720588235294116
RF04326_c,103,0.9605769230769231
RF04326_c,104,0.9556603773584905
RF04326_c,105,0.9431372549019608
RF04326_c,106,0.9519230769230769
RF04326_c,107,0.888425925925926
RF04326_c,108,0.9429245283018868
RF04326_c,109,0.9466981132075472
RF04326_c,110,0.9466981132075472
RF04326_c,111,0.9429245283018868
RF04326_c,112,0.9519230769230769
RF04326_c,113,0.9681372549019608
RF04326_c,114,0.9514705882352941
RF04326_c,115,0.9721153846153846
RF04326_c,116,0.9605769230769231
RF04326_c,117,0.9634615384615384
RF04326_c,118,0.9650943396226415
RF04326_c,119,0.9720588235294116
RF04326_c,120,0.96
RF04326_c,121,0.9650943396226415
RF04326_c,122,0.9720588235294116
RF04326_c,123,0.9529411764705883
RF04326_c,124,0.9514705882352941
RF04326_c,125,0.9693396226415094
RF04326_c,126,0.9693396226415094
RF04326_c,127,0.9693396226415094
RF04326_c,128,0.9650943396226415
RF04326_c,129,0.95
RF04326_c,130,0.9693396226415094
RF04326_c,131,0.9693396226415094
RF04326_c,132,0.9605769230769231
RF04326_c,133,0.9720588235294116
RF04326_c,134,0.9720588235294116
RF04326_c,135,0.95
RF04326_c,136,0.9691176470588235
RF04326_c,137,0.9720588235294116
RF04326_c,138,0.9721153846153846
RF04326_c,139,0.9605769230769231
RF04326_c,140,0.958490566037736
RF04326_c,141,0.9539215686274509
RF04326_c,142,0.9720588235294116
RF04326_c,143,0.9720588235294116
RF04326_c,144,0.949056603773585
RF04326_c,145,0.9650943396226415
RF04326_c,146,0.9720588235294116
RF04326_c,147,0.95
RF04326_c,148,0.9720588235294116
RF04326_c,149,0.9495098039215687
RF04326_c,150,0.9504901960784314
RF04326_c,151,0.9495098039215687
RF04326_c,152,0.9693396226415094
RF04326_c,153,0.9720588235294116
RF04326_c,154,0.9259803921568628
RF04326_c,155,0.960377358490566
RF04326_c,156,0.9720588235294116
RF04326_c,157,0.9720588235294116
RF04326_c,158,0.9235294117647059
RF04326_c,159,0.9650943396226415
RF04326_c,160,0.9495098039215687
RF04326_c,161,0.9403846153846154
RF04326_c,162,0.958490566037736
RF04326_c,163,0.9543269230769232
RF04326_c,164,0.9173076923076924
RF04326_c,165,0.96
RF04326_c,166,0.9720588235294116
RF04326_c,167,0.958490566037736
RF04326_c,168,0.9320754716981132
RF04326_c,169,0.9529411764705883
RF04326_c,170,0.96
RF04326_c,171,0.9484042553191492
RF04326_c,172,0.9352941176470588
RF04326_c,173,0.9719999999999999
RF04326_c,174,0.9317708333333332
